ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
180,12162.59,92.21,3,1.79,77.47,12,0.09,3.56,8.74,93.03,10,3072.26,0.431,2.13,211.31,0
797,16421.49,92.47,4,1.09,68.35,11,0.57,8.43,2.46,95.39,8,2414.54,0.1,3.52,186.43,1
689,18549.92,82.7,3,2.76,61.84,1,1.36,4.83,4.89,88.42,10,1300.22,0.313,9.08,373.25,1
495,15810.44,93.87,3,1.49,78.51,2,0.8,5.87,0.3,89.77,6,4963.89,0.204,7.64,110.85,0
490,19448.17,93.5,2,4.71,92.59,14,3.66,3.78,0.09,94.03,8,1699.09,0.265,9.37,322.71,1
873,16730.08,93.65,1,0.52,89.19,14,0.53,7.49,7.05,91.37,1,2021.23,0.268,8.94,269.64,0
177,18002.02,81.48,1,1.14,76.34,13,4.33,8.25,1.18,90.23,3,1943.66,0.257,3.81,195.63,1
728,6711.56,88.94,4,1.61,83.79,3,1.11,4.72,5.48,84.11,1,4631.77,0.457,6.69,308.12,1
281,15986.2,88.18,0,1.4,77.45,12,0.54,9.56,6.96,85.16,10,4054.75,0.315,4.41,186.87,0
184,11601.33,81.73,0,1.52,83.16,1,0.05,2.24,0.32,87.17,6,2829.32,0.461,7.27,325.73,0
574,13296.56,84.45,2,3.45,80.7,3,3.58,3.06,4.49,80.19,10,4821.69,0.391,4.14,159.59,1
979,14811.54,88.82,4,1.97,87.24,12,1.28,6.71,6.84,88.35,4,1211.13,0.24,1.01,262.28,1
762,19547.23,94.86,3,3.27,80.31,15,2.55,7.61,8.9,80.06,4,4574.68,0.297,1.85,304.17,1
785,19768.67,84.74,3,4.51,97.62,16,0.56,4.01,2.99,91.3,7,1241.71,0.256,7.94,112.68,1
746,9323.42,96.59,3,3.21,77.12,24,4.93,6.43,9.74,94.08,6,2564.52,0.431,1.76,344.29,1
808,16006.3,90.92,0,3.63,60.64,21,0.63,4.55,8.45,91.24,4,1216.02,0.175,6.39,400.13,1
562,16249.75,95.21,1,2.14,69.45,9,2.06,6.43,6.51,93.87,3,4995.88,0.475,8.72,482.43,1
215,10197.39,89.45,0,1.22,80.02,19,4.26,7.27,3.92,80.0,5,4657.56,0.332,7.67,181.25,1
856,6858.05,89.98,4,1.94,81.62,2,1.22,9.78,7.11,81.19,0,3339.2,0.345,4.72,183.48,1
505,5614.2,92.39,4,4.84,82.1,21,1.33,5.65,8.16,93.97,2,1871.38,0.307,2.88,221.93,1
550,16660.15,98.56,1,3.3,88.58,9,4.04,7.19,3.03,96.06,0,2107.11,0.322,9.3,456.31,0
434,12345.5,89.84,1,1.75,70.99,19,1.37,6.62,9.93,94.35,1,2798.17,0.367,6.1,262.74,0
264,19783.1,90.57,1,2.53,86.6,24,0.01,4.54,9.09,93.26,2,2291.12,0.362,4.65,220.72,0
935,11974.6,92.04,5,4.26,88.16,17,2.14,4.02,4.86,94.15,0,1085.26,0.186,9.48,396.47,1
804,19668.75,94.75,2,3.51,76.45,23,0.06,9.9,7.23,94.79,0,3625.02,0.333,2.94,115.2,0
680,11173.64,81.44,4,3.02,76.09,0,4.55,3.65,5.24,94.49,9,3453.71,0.242,4.98,319.53,1
462,16905.23,90.31,2,4.48,67.16,4,3.21,8.32,7.61,94.76,2,4617.24,0.355,1.98,280.08,1
841,6272.29,89.63,4,3.53,76.56,15,2.92,3.17,8.27,81.48,6,2907.42,0.319,2.12,349.94,1
591,13331.93,98.43,3,3.39,91.47,13,1.01,8.43,0.23,81.27,1,2378.84,0.172,4.59,392.44,0
499,17030.9,89.87,1,1.35,96.36,3,3.5,3.49,0.79,87.22,10,3046.07,0.394,7.3,230.0,1
505,18870.53,89.37,5,0.98,83.74,17,3.39,9.74,3.36,90.55,2,1778.78,0.283,4.05,354.57,1
304,17338.75,99.24,4,4.84,71.97,1,0.3,7.49,9.18,95.25,8,3502.16,0.321,7.21,309.73,1
183,5554.56,89.01,4,3.19,87.29,24,4.4,2.72,3.98,86.69,7,4080.13,0.369,8.25,153.59,1
599,10590.54,83.62,5,2.37,89.61,3,2.9,7.55,8.88,85.5,8,1613.85,0.361,8.9,452.69,1
899,5730.48,84.34,1,3.15,73.29,11,3.96,6.83,4.62,95.63,6,2273.53,0.4,1.4,401.84,1
157,6639.23,81.9,0,0.78,93.06,20,1.31,4.7,2.89,84.99,5,4471.2,0.183,7.96,468.66,0
873,15129.58,80.01,3,4.2,62.95,12,0.61,4.09,9.01,96.42,8,3022.13,0.144,2.32,388.16,1
845,15698.87,88.64,1,1.47,60.43,18,3.51,7.75,5.61,83.54,8,3127.35,0.368,7.28,197.92,1
349,16605.81,95.38,2,4.12,64.92,17,3.97,7.93,3.6,87.19,4,3889.63,0.194,4.34,272.21,1
669,17981.85,94.67,1,2.9,66.24,23,1.93,4.62,0.44,88.02,10,3311.57,0.146,7.37,254.75,1
248,16091.47,80.64,2,1.74,95.16,11,0.12,9.01,1.11,85.99,10,1278.32,0.152,2.92,114.33,0
783,17013.07,91.4,2,0.64,77.0,24,4.09,4.15,1.39,80.07,7,4215.85,0.225,6.8,264.22,1
731,5734.46,83.09,2,4.17,71.0,12,1.03,2.56,3.65,84.71,10,4691.34,0.497,2.13,238.23,1
419,8518.03,98.82,4,1.29,77.16,22,1.7,6.8,6.07,86.75,1,1213.11,0.163,2.53,101.57,0
161,14328.47,83.35,3,0.73,75.79,18,3.14,2.86,3.08,86.27,5,1485.0,0.219,6.53,438.85,1
974,17871.88,92.53,2,3.9,72.06,3,0.5,4.21,0.66,95.71,7,3807.9,0.468,4.03,157.55,1
501,5067.5,86.52,0,2.08,65.52,16,0.36,6.06,2.65,80.95,10,3417.9,0.485,7.33,300.38,1
904,12719.44,92.83,3,2.25,86.24,21,0.13,4.29,4.09,87.78,1,2530.07,0.192,7.17,413.87,1
